day,region,era5_cloud_mean,era5_precip_mm_daily,era5_cloud_hour_count,era5_precip_hour_count,era5_cloud_grid_count,era5_precip_grid_count,night_pixel_count,night_observability_ratio,night_readable_flag,night_mean,night_median
20250704,ShanghaiCore,0.7955638631184895,5.7220458984375e-05,24,24,25,25,,,,,
20250704,TyphoonTrackMatch,0.7179908983925439,13.035073193527959,24,24,1593,1593,,,,,
20250704,YangtzeDeltaWide,0.770906787448459,0.013281901677449545,24,24,240,240,,,,,
20250705,ShanghaiCore,0.012931009928385416,0.0,24,24,25,25,,,,,
20250705,TyphoonTrackMatch,0.5209812652019558,22.842497026403965,24,24,1593,1593,,,,,
20250705,YangtzeDeltaWide,0.08549065589904786,0.017996629079182945,24,24,240,240,,,,,
20250706,ShanghaiCore,0.4411252848307292,0.014553070068359375,24,24,25,25,,,,,
20250706,TyphoonTrackMatch,0.7231125505331245,19.579843687547207,24,24,1593,1593,,,,,
20250706,YangtzeDeltaWide,0.4325478606753879,0.7510205109914143,24,24,240,240,,,,,
20250707,ShanghaiCore,0.7144020080566406,8.746509552001953,24,24,25,25,,,,,
20250707,TyphoonTrackMatch,0.7831705184780072,10.934986861636633,24,24,1593,1593,,,,,
20250707,YangtzeDeltaWide,0.5485291639963786,4.334048430124918,24,24,240,240,,,,,
20250708,ShanghaiCore,0.6322669982910156,4.501686096191406,24,24,25,25,5021,0.9299870346360437,True,10.683284206333399,4.46
20250708,TyphoonTrackMatch,0.9129675413979027,16.514482995061403,24,24,1593,1593,,,,,
20250708,YangtzeDeltaWide,0.7637662622663709,5.322841803232829,24,24,240,240,27390,0.6895423191178692,True,5.882284045271997,1.2
20250709,ShanghaiCore,0.23013427734375003,0.7101058959960938,24,24,25,25,0,0.0,False,,
20250709,TyphoonTrackMatch,0.7577649236448791,20.832171922050325,24,24,1593,1593,,,,,
20250709,YangtzeDeltaWide,0.3279692014058431,1.2181957562764487,24,24,240,240,0,0.0,False,,
20250710,ShanghaiCore,0.4404579162597657,3.482646942138672,24,24,25,25,3330,0.6167808853491388,True,12.764597597597598,5.17
20250710,TyphoonTrackMatch,0.7427300506866384,16.64287371973683,24,24,1593,1593,,,,,
20250710,YangtzeDeltaWide,0.43730359607272673,2.2971808910369873,24,24,240,240,31744,0.7991541211419365,True,7.985634450604839,2.34
20250711,ShanghaiCore,0.7156380208333335,10.365161895751953,24,24,25,25,1940,0.35932580107427303,False,16.946123711340206,10.61
20250711,TyphoonTrackMatch,0.8842824196361502,10.404628399252069,24,24,1593,1593,,,,,
20250711,YangtzeDeltaWide,0.7679832882351345,9.922005732854206,24,24,240,240,25551,0.6432455566184986,True,8.88323079331533,5.47
20250712,ShanghaiCore,0.7114005025227867,11.024208068847656,24,24,25,25,1398,0.2589368401555844,False,14.105858369098714,9.67
20250712,TyphoonTrackMatch,0.8653786542101818,6.463512114137505,24,24,1593,1593,,,,,
20250712,YangtzeDeltaWide,0.7416213565402562,11.804757515589396,24,24,240,240,26989,0.679447157746337,True,7.830265663788952,2.92
